,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,CESSPOOL_Density_perAcre_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
3098,18622,35.85130193628609,11,27.72166666666666,9.0,0.0,40.03626515849257,24.03100308405244,55.529402124302834,17.00523244280489,13.23884664047343,80.68602002418007,51.44632272120848,0.0,22.322232223222326,100.0,0.0,32.603839895173785,100.0,0.0,High,1.0
3104,18633,19.213488540767603,21,22.388333333333325,0.0,0.0,12.96217966022668,55.9245843436193,17.05476720837319,5.992412820288472,72.2886219257526,13.959319550093007,19.469580058549496,0.0,4.479019330504478,66.0,0.0,11.284185134908775,5.61281328663228,0.0,Low,3.0
3107,18657,27.596410523164767,12,23.58458333333333,0.0,0.0,50.72503264038368,49.17903852742205,20.918696926342104,7.312849392339506,68.14089103246431,35.79050556140074,13.63762966604233,0.0,56.43564356435642,66.0,33.0,9.302952181612927,7.51474554493888,0.0,Medium,2.0
3125,18761,13.709444064000879,15,22.388333333333325,0.0,0.0,25.411761799902365,7.25228755258742,33.71050661135154,7.430065044955294,6.932324534625142,21.62071937372885,15.34790976654,0.0,1.980198019801981,33.0,0.0,41.79180763643307,2.4851913507550565,1.0,Low,3.0
3127,18776,15.760580275221129,49,18.971496598639447,0.0,23.46938775510204,18.517597489240554,28.540940907867753,21.580683499422474,5.275615856915841,36.61224435295944,17.271472173504016,20.938569870210475,0.0,2.5661749848454236,33.0,9.428571428571429,10.06974643000189,5.926783056257192,0.0,Low,3.0
3158,18935,39.97870348364811,24,32.57460317460319,91.66666666666667,0.0,71.43260730366488,29.12494448113387,14.226235269894898,25.980715451593507,17.03630747116318,95.21451462476368,18.917191033535904,16.666666666666668,64.8927392739274,92.91666666666667,33.0,9.19003997924248,26.81935767484681,0.0,High,1.0
3173,18997,23.840193932619524,11,22.873181818181813,0.0,0.0,5.787166399014442,40.471525772740854,16.704176253225413,22.306549159743753,30.124502994055412,34.12242829476718,14.131109490877263,0.0,73.0873087308731,66.0,0.0,32.129009915403934,23.706144093029305,1.0,Low,3.0
3176,19006,43.32727951421221,22,22.388333333333325,100.0,0.0,44.95756540050084,27.98027537701515,25.935005633644312,14.955862120427458,16.604098262482413,100.0,28.44879489518564,4.545454545454546,95.45454545454545,66.0,33.0,29.370929919845107,83.59560728496109,1.0,High,1.0
3186,19057,12.20774134236796,24,26.940882936507933,0.0,0.0,6.647159478708087,30.90573273598757,17.09264215436567,19.847758224367507,8.69337343690365,7.678348232524169,13.265829265048774,0.0,1.402640264026403,0.0,0.0,37.2135615213875,25.635933228060157,1.0,Low,3.0
3188,19061,13.571425421857963,13,26.425018315018313,0.0,0.0,7.874333549040111,37.7834265306712,18.58865059091971,20.846881482561205,11.573603704955941,9.069042475090221,14.798789649041542,0.0,1.2185833968012187,0.0,0.0,35.414392999354455,33.55008405627352,1.0,Low,3.0
3195,19078,28.091298017038728,29,24.85434318555008,10.344827586206897,0.0,25.628458079451207,42.40156562050342,25.990833399130945,17.249821943148156,5.333732099478631,45.39100735221491,20.824910750592466,0.0,79.2420621372482,66.0,0.0,21.471790348209996,64.72741577088475,0.0,Medium,2.0
